Date/Time,Distance (km),Source
2031-04-05T17:31:00Z,0.441,Synth Watch X1
2031-04-05T17:32:00Z,0.374,Synth Watch X1
2031-04-05T17:33:00Z,0.43,Synth Watch X1
2031-04-05T17:34:00Z,0.349,Synth Watch X1
2031-04-05T17:35:00Z,0.468,Synth Watch X1
2031-04-05T17:36:00Z,0.529,Synth Watch X1
2031-04-05T17:37:00Z,0.47,Synth Watch X1
2031-04-05T17:38:00Z,0.353,Synth Watch X1
2031-04-05T17:39:00Z,0.418,Synth Watch X1
2031-04-05T17:40:00Z,0.373,Synth Watch X1
2031-04-05T17:41:00Z,0.386,Synth Watch X1
2031-04-05T17:42:00Z,0.474,Synth Watch X1
2031-04-05T17:43:00Z,0.53,Synth Watch X1
2031-04-05T17:44:00Z,0.386,Synth Watch X1
2031-04-05T17:45:00Z,0.382,Synth Watch X1
2031-04-05T17:46:00Z,0.489,Synth Watch X1
2031-04-05T17:47:00Z,0.366,Synth Watch X1
2031-04-05T17:48:00Z,0.431,Synth Watch X1
2031-04-05T17:49:00Z,0.448,Synth Watch X1
2031-04-05T17:50:00Z,0.526,Synth Watch X1
2031-04-05T17:51:00Z,0.427,Synth Watch X1
2031-04-05T17:52:00Z,0.311,Synth Watch X1
2031-04-05T17:53:00Z,0.367,Synth Watch X1
2031-04-05T17:54:00Z,0.548,Synth Watch X1
2031-04-05T17:55:00Z,0.332,Synth Watch X1
2031-04-05T18:01:00Z,0.428,Synth Watch X1
2031-04-05T18:02:00Z,0.43,Synth Watch X1
2031-04-05T18:03:00Z,0.398,Synth Watch X1
2031-04-05T18:04:00Z,0.544,Synth Watch X1
2031-04-05T18:05:00Z,0.477,Synth Watch X1
2031-04-05T18:06:00Z,0.413,Synth Watch X1
2031-04-05T18:07:00Z,0.507,Synth Watch X1
2031-04-05T18:08:00Z,0.331,Synth Watch X1
2031-04-05T18:09:00Z,0.303,Synth Watch X1
2031-04-05T18:10:00Z,0.346,Synth Watch X1
2031-04-05T18:11:00Z,0.487,Synth Watch X1
2031-04-05T18:12:00Z,0.405,Synth Watch X1
2031-04-05T18:13:00Z,0.382,Synth Watch X1
2031-04-05T18:14:00Z,0.345,Synth Watch X1
2031-04-05T18:15:00Z,0.452,Synth Watch X1
2031-04-05T18:16:00Z,0.504,Synth Watch X1
2031-04-05T18:17:00Z,0.451,Synth Watch X1
2031-04-05T18:18:00Z,0.304,Synth Watch X1
2031-04-05T18:19:00Z,0.545,Synth Watch X1
2031-04-05T18:20:00Z,0.493,Synth Watch X1
2031-04-05T18:21:00Z,0.521,Synth Watch X1
2031-04-05T18:22:00Z,0.547,Synth Watch X1
2031-04-05T18:23:00Z,0.386,Synth Watch X1
2031-04-05T18:24:00Z,0.457,Synth Watch X1
2031-04-05T18:25:00Z,0.435,Synth Watch X1
2031-04-05T18:26:00Z,0.354,Synth Watch X1
