Date/Time,Active Energy (kJ),Source
2031-04-05T17:31:00Z,31.25,Synth Watch X1
2031-04-05T17:32:00Z,37.21,Synth Watch X1
2031-04-05T17:33:00Z,33.17,Synth Watch X1
2031-04-05T17:34:00Z,36.02,Synth Watch X1
2031-04-05T17:35:00Z,33.35,Synth Watch X1
2031-04-05T17:36:00Z,26.4,Synth Watch X1
2031-04-05T17:37:00Z,38.21,Synth Watch X1
2031-04-05T17:38:00Z,28.43,Synth Watch X1
2031-04-05T17:39:00Z,27.4,Synth Watch X1
2031-04-05T17:40:00Z,25.56,Synth Watch X1
2031-04-05T17:41:00Z,27.49,Synth Watch X1
2031-04-05T17:42:00Z,27.95,Synth Watch X1
2031-04-05T17:43:00Z,39.81,Synth Watch X1
2031-04-05T17:44:00Z,35.85,Synth Watch X1
2031-04-05T17:45:00Z,32.03,Synth Watch X1
2031-04-05T17:46:00Z,28.41,Synth Watch X1
2031-04-05T17:47:00Z,34.62,Synth Watch X1
2031-04-05T17:48:00Z,35.87,Synth Watch X1
2031-04-05T17:49:00Z,32.4,Synth Watch X1
2031-04-05T17:50:00Z,35.31,Synth Watch X1
2031-04-05T17:51:00Z,26.17,Synth Watch X1
2031-04-05T17:52:00Z,35.75,Synth Watch X1
2031-04-05T17:53:00Z,35.61,Synth Watch X1
2031-04-05T17:54:00Z,34.06,Synth Watch X1
2031-04-05T17:55:00Z,33.01,Synth Watch X1
2031-04-05T18:01:00Z,30.66,Synth Watch X1
2031-04-05T18:02:00Z,30.08,Synth Watch X1
2031-04-05T18:03:00Z,28.84,Synth Watch X1
2031-04-05T18:04:00Z,30.04,Synth Watch X1
2031-04-05T18:05:00Z,28.69,Synth Watch X1
2031-04-05T18:06:00Z,25.41,Synth Watch X1
2031-04-05T18:07:00Z,29.95,Synth Watch X1
2031-04-05T18:08:00Z,27.58,Synth Watch X1
2031-04-05T18:09:00Z,30.16,Synth Watch X1
2031-04-05T18:10:00Z,30.06,Synth Watch X1
2031-04-05T18:11:00Z,26.29,Synth Watch X1
2031-04-05T18:12:00Z,36.18,Synth Watch X1
2031-04-05T18:13:00Z,32.16,Synth Watch X1
2031-04-05T18:14:00Z,26.27,Synth Watch X1
2031-04-05T18:15:00Z,39.01,Synth Watch X1
2031-04-05T18:16:00Z,26.94,Synth Watch X1
2031-04-05T18:17:00Z,31.99,Synth Watch X1
2031-04-05T18:18:00Z,29.46,Synth Watch X1
2031-04-05T18:19:00Z,25.28,Synth Watch X1
2031-04-05T18:20:00Z,27.11,Synth Watch X1
2031-04-05T18:21:00Z,28.56,Synth Watch X1
2031-04-05T18:22:00Z,34.26,Synth Watch X1
2031-04-05T18:23:00Z,26.45,Synth Watch X1
2031-04-05T18:24:00Z,27.14,Synth Watch X1
2031-04-05T18:25:00Z,32.72,Synth Watch X1
2031-04-05T18:26:00Z,30.95,Synth Watch X1
