Date/Time,Cadence (rpm),Source
2031-04-05T17:31:00Z,69,Synth Watch X1
2031-04-05T17:32:00Z,72,Synth Watch X1
2031-04-05T17:33:00Z,75,Synth Watch X1
2031-04-05T17:34:00Z,76,Synth Watch X1
2031-04-05T17:35:00Z,76,Synth Watch X1
2031-04-05T17:36:00Z,82,Synth Watch X1
2031-04-05T17:37:00Z,78,Synth Watch X1
2031-04-05T17:38:00Z,80,Synth Watch X1
2031-04-05T17:39:00Z,81,Synth Watch X1
2031-04-05T17:40:00Z,88,Synth Watch X1
2031-04-05T17:41:00Z,88,Synth Watch X1
2031-04-05T17:42:00Z,87,Synth Watch X1
2031-04-05T17:43:00Z,83,Synth Watch X1
2031-04-05T17:44:00Z,84,Synth Watch X1
2031-04-05T17:45:00Z,84,Synth Watch X1
2031-04-05T17:46:00Z,83,Synth Watch X1
2031-04-05T17:47:00Z,86,Synth Watch X1
2031-04-05T17:48:00Z,89,Synth Watch X1
2031-04-05T17:49:00Z,86,Synth Watch X1
2031-04-05T17:50:00Z,85,Synth Watch X1
2031-04-05T17:51:00Z,80,Synth Watch X1
2031-04-05T17:52:00Z,80,Synth Watch X1
2031-04-05T17:53:00Z,78,Synth Watch X1
2031-04-05T17:54:00Z,82,Synth Watch X1
2031-04-05T17:55:00Z,77,Synth Watch X1
2031-04-05T18:01:00Z,69,Synth Watch X1
2031-04-05T18:02:00Z,68,Synth Watch X1
2031-04-05T18:03:00Z,68,Synth Watch X1
2031-04-05T18:04:00Z,69,Synth Watch X1
2031-04-05T18:05:00Z,62,Synth Watch X1
2031-04-05T18:06:00Z,67,Synth Watch X1
2031-04-05T18:07:00Z,61,Synth Watch X1
2031-04-05T18:08:00Z,59,Synth Watch X1
2031-04-05T18:09:00Z,56,Synth Watch X1
2031-04-05T18:10:00Z,60,Synth Watch X1
2031-04-05T18:11:00Z,63,Synth Watch X1
2031-04-05T18:12:00Z,57,Synth Watch X1
2031-04-05T18:13:00Z,56,Synth Watch X1
2031-04-05T18:14:00Z,55,Synth Watch X1
2031-04-05T18:15:00Z,59,Synth Watch X1
2031-04-05T18:16:00Z,55,Synth Watch X1
2031-04-05T18:17:00Z,60,Synth Watch X1
2031-04-05T18:18:00Z,56,Synth Watch X1
2031-04-05T18:19:00Z,58,Synth Watch X1
2031-04-05T18:20:00Z,59,Synth Watch X1
2031-04-05T18:21:00Z,59,Synth Watch X1
2031-04-05T18:22:00Z,63,Synth Watch X1
2031-04-05T18:23:00Z,66,Synth Watch X1
2031-04-05T18:24:00Z,64,Synth Watch X1
2031-04-05T18:25:00Z,66,Synth Watch X1
2031-04-05T18:26:00Z,67,Synth Watch X1
