Timestamp,Latitude,Longitude,Altitude (m),Vertical Accuracy (m),Horizontal Accuracy (m),Speed (m/s),Course (deg)
2031-04-08T07:32:00Z,-48.399701,-123.360171,48.1,2.3,7.3,7.13,339.2
2031-04-08T07:32:05Z,-48.399393,-123.36037,47.8,3.8,4.8,7.46,336.8
2031-04-08T07:32:10Z,-48.399095,-123.360532,47.6,4.4,7.9,7.04,340.1
2031-04-08T07:32:15Z,-48.398806,-123.360753,48,2.8,6.1,7.23,333.1
2031-04-08T07:32:20Z,-48.398509,-123.360895,48,2.3,7.4,6.92,342.4
2031-04-08T07:32:25Z,-48.398218,-123.361101,48,3.7,6.5,7.16,334.9
2031-04-08T07:32:30Z,-48.397914,-123.361311,48.5,2.6,7.5,7.45,335.4
2031-04-08T07:32:35Z,-48.397665,-123.361537,48.8,4.5,4.3,6.49,328.9
2031-04-08T07:32:40Z,-48.397341,-123.361777,48.7,4.2,6.9,8.03,333.8
2031-04-08T07:32:45Z,-48.397027,-123.36204,49.4,3.2,5.8,8,330.9
2031-04-08T07:32:50Z,-48.396796,-123.362315,49.9,5,6.1,6.55,321.7
2031-04-08T07:32:55Z,-48.396506,-123.362658,50.3,3.3,4.8,8.22,321.8
2031-04-08T07:33:00Z,-48.396203,-123.362917,50.4,5,3.8,7.75,330.4
2031-04-08T07:33:05Z,-48.395857,-123.363103,50.9,4.4,7.2,8.17,340.3
2031-04-08T07:33:10Z,-48.395512,-123.363243,51.7,3.6,7.2,7.97,344.9
2031-04-08T07:33:15Z,-48.395206,-123.363301,52.3,4.4,5.1,6.87,352.8
2031-04-08T07:33:20Z,-48.394847,-123.363284,52.6,4.1,5.5,7.99,1.9
2031-04-08T07:33:25Z,-48.394512,-123.3633,53.1,3.5,5.2,7.45,358.1
2031-04-08T07:33:30Z,-48.394201,-123.363395,53.5,3.3,4.1,7.08,348.6
2031-04-08T07:33:35Z,-48.393812,-123.363461,54.2,4,6.7,8.72,353.6
2031-04-08T07:33:40Z,-48.393451,-123.363582,55.1,3.3,7.5,8.22,347.3
2031-04-08T07:33:45Z,-48.393144,-123.363752,55.8,2.4,4.2,7.28,339.9
2031-04-08T07:33:50Z,-48.392763,-123.363926,56.2,3.8,5.8,8.89,343.1
2031-04-08T07:33:55Z,-48.392434,-123.364002,56.6,3.9,5,7.4,351.3
2031-04-08T07:34:00Z,-48.392066,-123.364017,57.3,3.5,3.5,8.2,358.5
2031-04-08T07:34:05Z,-48.391669,-123.364124,58.5,4,7.1,8.96,349.8
2031-04-08T07:34:10Z,-48.391318,-123.364186,59.4,2.3,5.8,7.87,353.3
2031-04-08T07:34:15Z,-48.390956,-123.364154,59.9,2.4,6.4,8.07,3.3
2031-04-08T07:34:20Z,-48.390594,-123.364116,60.5,3.8,5.8,8.09,4
2031-04-08T07:34:25Z,-48.390235,-123.364171,61.2,2.5,5.1,8.02,354.2
2031-04-08T07:34:30Z,-48.389859,-123.364283,61.9,4.7,5.6,8.54,348.8
2031-04-08T07:34:35Z,-48.389441,-123.364305,62.5,4.7,3.8,9.32,358
2031-04-08T07:34:40Z,-48.389085,-123.364254,63.5,4.9,7.5,7.95,5.4
2031-04-08T07:34:45Z,-48.38868,-123.364101,64.4,2.5,5.6,9.29,14.1
2031-04-08T07:34:50Z,-48.388268,-123.364012,65.7,3.4,4.7,9.28,8.2
2031-04-08T07:34:55Z,-48.387922,-123.36392,66.9,4.9,7.8,7.81,10
2031-04-08T07:35:00Z,-48.387529,-123.363742,67.6,4.2,4.7,9.15,16.7
2031-04-08T07:35:05Z,-48.387151,-123.363545,68.4,3.8,6.2,8.91,19.2
2031-04-08T07:35:10Z,-48.386803,-123.363274,69.6,4.7,5,8.7,27.4
2031-04-08T07:35:15Z,-48.386482,-123.362942,70.4,3.3,7.7,8.68,34.4
2031-04-08T07:35:20Z,-48.386103,-123.362638,71.5,4.9,5.2,9.55,28.1
2031-04-08T07:35:25Z,-48.385767,-123.36242,72.6,2.9,7.5,8.15,23.3
2031-04-08T07:35:30Z,-48.385421,-123.362219,73.7,4.4,4.2,8.26,21.1
2031-04-08T07:35:35Z,-48.385032,-123.36205,74.6,2.7,4.9,9.01,16.1
2031-04-08T07:35:40Z,-48.384642,-123.361939,75.4,2.3,4.2,8.84,10.8
2031-04-08T07:35:45Z,-48.384211,-123.361781,76.9,3.8,5.6,9.89,13.6
2031-04-08T07:35:50Z,-48.383839,-123.361704,77.9,2.9,6.5,8.34,7.9
2031-04-08T07:35:55Z,-48.383399,-123.36158,78.9,2.2,4.7,9.98,10.5
2031-04-08T07:36:00Z,-48.383009,-123.361403,80.1,4.7,7.1,9.06,16.8
2031-04-08T07:36:05Z,-48.382645,-123.361262,81.6,3,5,8.37,14.4
2031-04-08T07:36:10Z,-48.382266,-123.361041,83.1,3.1,7.2,9.06,21.2
2031-04-08T07:36:15Z,-48.381851,-123.360884,84.6,4.6,5.4,9.52,14.1
2031-04-08T07:36:20Z,-48.381403,-123.360713,86,4.5,4,10.28,14.2
2031-04-08T07:36:25Z,-48.381005,-123.360443,87.4,2.2,7.4,9.73,24.2
2031-04-08T07:36:30Z,-48.380651,-123.360118,88.4,4.7,5.8,9.22,31.4
2031-04-08T07:36:35Z,-48.380287,-123.359892,89.9,3.1,4.5,8.77,22.5
2031-04-08T07:36:40Z,-48.379875,-123.359577,91,2.1,5.6,10.28,26.9
2031-04-08T07:36:45Z,-48.379487,-123.359287,92.1,4.9,3.2,9.66,26.4
2031-04-08T07:36:50Z,-48.379095,-123.359001,93.2,3.4,3.9,9.69,25.8
2031-04-08T07:36:55Z,-48.378655,-123.358799,94.8,4.3,7.4,10.24,17
2031-04-08T07:37:00Z,-48.378236,-123.358584,96.3,2.8,6.6,9.85,18.8
2031-04-08T07:37:05Z,-48.377818,-123.358319,97.5,2.9,6.7,10.1,22.9
2031-04-08T07:37:10Z,-48.377403,-123.35809,98.4,2.3,4.7,9.84,20.1
2031-04-08T07:37:15Z,-48.376966,-123.35786,99.6,3.5,4.3,10.31,19.3
2031-04-08T07:37:20Z,-48.376516,-123.357626,101.1,3.2,4.6,10.6,19
2031-04-08T07:37:25Z,-48.376143,-123.357329,102.6,4.5,7.6,9.38,27.9
2031-04-08T07:37:30Z,-48.375716,-123.357062,104,4.6,5.9,10.31,22.6
2031-04-08T07:37:35Z,-48.375297,-123.356813,105.3,3.3,6.9,10.03,21.5
2031-04-08T07:37:40Z,-48.374862,-123.356565,106.5,2.6,5.1,10.36,20.8
2031-04-08T07:37:45Z,-48.3745,-123.356321,107.7,2.1,6.8,8.82,24.1
2031-04-08T07:37:50Z,-48.374103,-123.356072,108.5,2.1,7.5,9.58,22.6
2031-04-08T07:37:55Z,-48.3737,-123.355834,109.4,2.5,3.1,9.64,21.4
2031-04-08T07:38:00Z,-48.373264,-123.355618,110.4,2.6,7.5,10.22,18.3
2031-04-08T07:38:05Z,-48.372836,-123.355434,111.8,3.3,7.9,9.91,15.9
2031-04-08T07:38:10Z,-48.37237,-123.355289,112.7,4.2,3.2,10.6,11.6
2031-04-08T07:38:15Z,-48.371884,-123.355259,113.7,2.3,3.3,10.81,2.4
2031-04-08T07:38:20Z,-48.371484,-123.355168,114.8,2,3.1,9,8.5
2031-04-08T07:38:25Z,-48.371081,-123.355151,115.6,2.7,6.6,9,1.6
2031-04-08T07:38:30Z,-48.370607,-123.355119,116.4,2.4,3.9,10.55,2.6
2031-04-08T07:38:35Z,-48.370187,-123.355014,117.5,4.2,4.2,9.48,9.5
2031-04-08T07:38:40Z,-48.369739,-123.354917,118.4,3.3,5,10.09,8.1
2031-04-08T07:38:45Z,-48.369319,-123.354751,119.7,3.2,4.6,9.67,14.7
2031-04-08T07:38:50Z,-48.368933,-123.35452,120.5,3.5,6.8,9.24,21.7
2031-04-08T07:38:55Z,-48.368506,-123.354285,121.5,2.2,6.6,10.13,20.1
2031-04-08T07:39:00Z,-48.368119,-123.354116,122.5,2.6,7.8,8.96,16.2
2031-04-08T07:39:05Z,-48.367713,-123.353867,123.5,4.6,7.7,9.76,22.2
2031-04-08T07:39:10Z,-48.367262,-123.353674,124.7,3.5,7.9,10.44,15.9
2031-04-08T07:39:15Z,-48.366832,-123.35349,125.7,3.5,4.2,9.96,15.9
2031-04-08T07:39:20Z,-48.366432,-123.353229,126.7,3.3,6.6,9.71,23.4
2031-04-08T07:39:25Z,-48.365961,-123.35301,127.7,3.7,7.5,10.97,17.2
2031-04-08T07:39:30Z,-48.365501,-123.352892,128.5,4.7,3.8,10.39,9.6
2031-04-08T07:39:35Z,-48.365075,-123.352701,128.9,2.4,6.4,9.89,16.6
2031-04-08T07:39:40Z,-48.364664,-123.352625,129.3,2.4,6.4,9.22,7
2031-04-08T07:39:45Z,-48.364215,-123.352561,130,3.4,6.3,10.05,5.4
2031-04-08T07:39:50Z,-48.363728,-123.352486,130.9,2,4.4,10.9,5.9
2031-04-08T07:39:55Z,-48.363271,-123.352317,131.1,2.9,7.1,10.48,13.8
2031-04-08T07:40:00Z,-48.36284,-123.352089,132,4.3,6.5,10.17,19.4
2031-04-08T07:40:05Z,-48.36243,-123.351924,132.7,4.9,4.4,9.44,15
2031-04-08T07:40:10Z,-48.362039,-123.351679,133,3.5,7.1,9.44,22.6
2031-04-08T07:40:15Z,-48.36159,-123.351457,133.3,4.6,3.7,10.51,18.2
2031-04-08T07:40:20Z,-48.361181,-123.35132,133.4,4.2,5.5,9.35,12.5
2031-04-08T07:40:25Z,-48.360699,-123.351226,133.6,4.4,4.9,10.82,7.4
2031-04-08T07:40:30Z,-48.360239,-123.351133,133.8,2.2,4.1,10.33,7.6
2031-04-08T07:40:35Z,-48.35978,-123.351082,134.3,4.1,3.4,10.24,4.2
2031-04-08T07:40:40Z,-48.359324,-123.350982,134.6,2,5,10.27,8.2
2031-04-08T07:40:45Z,-48.358861,-123.350825,135.2,3.3,6.8,10.56,12.7
2031-04-08T07:40:50Z,-48.358459,-123.35062,135.6,4.4,3.6,9.45,18.7
2031-04-08T07:40:55Z,-48.357994,-123.35042,135.9,3.5,3.4,10.77,16
2031-04-08T07:41:00Z,-48.357526,-123.350341,136.1,3.7,6.1,10.49,6.4
2031-04-08T07:41:05Z,-48.357079,-123.350277,136.5,2,3.5,10.01,5.4
2031-04-08T07:41:10Z,-48.356655,-123.350268,136.6,4.2,3.8,9.43,0.9
2031-04-08T07:41:15Z,-48.356195,-123.350228,136.5,2.9,7,10.27,3.3
2031-04-08T07:41:20Z,-48.355728,-123.350117,136.4,2.9,3.5,10.52,8.9
2031-04-08T07:41:25Z,-48.355258,-123.350003,136.5,3.4,6.9,10.6,9.2
2031-04-08T07:41:30Z,-48.354814,-123.34985,136.9,2.2,3.8,10.14,12.9
2031-04-08T07:41:35Z,-48.354395,-123.349645,137,2.1,6.6,9.81,18
2031-04-08T07:41:40Z,-48.353984,-123.349501,137.2,3.7,5.3,9.4,13.1
2031-04-08T07:41:45Z,-48.353595,-123.349293,136.9,2.4,3.9,9.18,19.6
