Date/Time,Min (bpm),Max (bpm),Avg (bpm),Context,Source
2031-04-08T07:32:00Z,124,129,126,workout,Synth Watch X1
2031-04-08T07:33:00Z,121,132,125,workout,Synth Watch X1
2031-04-08T07:34:00Z,121,129,124,workout,Synth Watch X1
2031-04-08T07:35:00Z,123,128,126,workout,Synth Watch X1
2031-04-08T07:36:00Z,126,136,130,workout,Synth Watch X1
2031-04-08T07:37:00Z,126,135,130,workout,Synth Watch X1
2031-04-08T07:38:00Z,132,140,136,workout,Synth Watch X1
2031-04-08T07:39:00Z,130,139,134,workout,Synth Watch X1
2031-04-08T07:40:00Z,135,142,137,workout,Synth Watch X1
2031-04-08T07:41:00Z,135,142,139,workout,Synth Watch X1
2031-04-08T07:42:00Z,138,148,142,workout,Synth Watch X1
2031-04-08T07:43:00Z,138,151,143,workout,Synth Watch X1
2031-04-08T07:44:00Z,141,146,144,workout,Synth Watch X1
2031-04-08T07:45:00Z,142,154,146,workout,Synth Watch X1
2031-04-08T07:46:00Z,141,149,144,workout,Synth Watch X1
2031-04-08T07:47:00Z,143,156,149,workout,Synth Watch X1
2031-04-08T07:48:00Z,138,148,143,workout,Synth Watch X1
2031-04-08T07:49:00Z,149,158,151,workout,Synth Watch X1
2031-04-08T07:50:00Z,140,149,145,workout,Synth Watch X1
2031-04-08T07:51:00Z,144,152,150,workout,Synth Watch X1
2031-04-08T07:52:00Z,143,154,149,workout,Synth Watch X1
2031-04-08T07:53:00Z,145,154,148,workout,Synth Watch X1
2031-04-08T07:54:00Z,147,156,150,workout,Synth Watch X1
2031-04-08T07:55:00Z,150,160,152,workout,Synth Watch X1
2031-04-08T07:56:00Z,149,157,152,workout,Synth Watch X1
2031-04-08T07:57:00Z,150,159,154,workout,Synth Watch X1
2031-04-08T07:58:00Z,152,162,156,workout,Synth Watch X1
2031-04-08T07:59:00Z,149,158,152,workout,Synth Watch X1
2031-04-08T08:00:00Z,155,166,160,workout,Synth Watch X1
2031-04-08T08:01:00Z,151,161,156,workout,Synth Watch X1
2031-04-08T08:02:00Z,153,160,157,workout,Synth Watch X1
2031-04-08T08:03:00Z,152,161,155,workout,Synth Watch X1
2031-04-08T08:04:00Z,158,168,161,workout,Synth Watch X1
2031-04-08T08:05:00Z,154,161,158,workout,Synth Watch X1
2031-04-08T08:06:00Z,152,162,156,workout,Synth Watch X1
2031-04-08T08:07:00Z,159,170,162,workout,Synth Watch X1
2031-04-08T08:08:00Z,154,165,159,workout,Synth Watch X1
2031-04-08T08:09:00Z,154,165,160,workout,Synth Watch X1
2031-04-08T08:10:00Z,150,163,155,workout,Synth Watch X1
2031-04-08T08:11:00Z,155,166,159,workout,Synth Watch X1
2031-04-08T08:12:00Z,148,162,154,workout,Synth Watch X1
2031-04-08T08:13:00Z,159,168,161,workout,Synth Watch X1
2031-04-08T08:14:00Z,154,163,159,workout,Synth Watch X1
2031-04-08T08:15:00Z,153,165,158,workout,Synth Watch X1
2031-04-08T08:16:00Z,149,161,154,workout,Synth Watch X1
2031-04-08T08:17:00Z,153,166,158,workout,Synth Watch X1
2031-04-08T08:18:00Z,151,162,156,workout,Synth Watch X1
2031-04-08T08:19:00Z,148,155,151,workout,Synth Watch X1
2031-04-08T08:20:00Z,146,159,151,workout,Synth Watch X1
2031-04-08T08:21:00Z,151,160,154,workout,Synth Watch X1
2031-04-08T08:22:00Z,145,151,148,workout,Synth Watch X1
2031-04-08T08:23:00Z,149,160,153,workout,Synth Watch X1
2031-04-08T08:24:00Z,144,155,147,workout,Synth Watch X1
2031-04-08T08:25:00Z,148,156,150,workout,Synth Watch X1
2031-04-08T08:26:00Z,143,149,145,workout,Synth Watch X1
2031-04-08T08:27:00Z,139,149,142,workout,Synth Watch X1
2031-04-08T08:28:00Z,142,150,144,workout,Synth Watch X1
2031-04-08T08:29:00Z,138,149,143,workout,Synth Watch X1
2031-04-08T08:30:00Z,136,146,140,workout,Synth Watch X1
2031-04-08T08:31:00Z,138,144,142,workout,Synth Watch X1
2031-04-08T08:32:00Z,132,143,137,workout,Synth Watch X1
2031-04-08T08:33:00Z,135,147,140,workout,Synth Watch X1
2031-04-08T08:34:00Z,128,137,132,workout,Synth Watch X1
2031-04-08T08:35:00Z,129,139,132,workout,Synth Watch X1
2031-04-08T08:36:00Z,126,139,131,workout,Synth Watch X1
2031-04-08T08:37:00Z,126,136,129,workout,Synth Watch X1
2031-04-08T08:38:00Z,129,139,133,workout,Synth Watch X1
2031-04-08T08:39:00Z,123,129,127,workout,Synth Watch X1
2031-04-08T08:40:00Z,121,133,125,workout,Synth Watch X1
2031-04-08T08:41:00Z,125,134,128,workout,Synth Watch X1
2031-04-08T08:42:00Z,120,133,125,workout,Synth Watch X1
