Date/Time,Distance (km),Source
2031-04-02T07:30:00Z,0.398,Synth Watch X1
2031-04-02T07:31:00Z,0.347,Synth Watch X1
2031-04-02T07:32:00Z,0.372,Synth Watch X1
2031-04-02T07:33:00Z,0.49,Synth Watch X1
2031-04-02T07:34:00Z,0.417,Synth Watch X1
2031-04-02T07:35:00Z,0.392,Synth Watch X1
2031-04-02T07:36:00Z,0.403,Synth Watch X1
2031-04-02T07:37:00Z,0.418,Synth Watch X1
2031-04-02T07:38:00Z,0.498,Synth Watch X1
2031-04-02T07:39:00Z,0.39,Synth Watch X1
2031-04-02T07:40:00Z,0.356,Synth Watch X1
2031-04-02T07:41:00Z,0.38,Synth Watch X1
2031-04-02T07:42:00Z,0.31,Synth Watch X1
2031-04-02T07:43:00Z,0.427,Synth Watch X1
2031-04-02T07:44:00Z,0.488,Synth Watch X1
2031-04-02T07:45:00Z,0.308,Synth Watch X1
2031-04-02T07:46:00Z,0.452,Synth Watch X1
2031-04-02T07:47:00Z,0.384,Synth Watch X1
2031-04-02T07:48:00Z,0.496,Synth Watch X1
2031-04-02T07:49:00Z,0.426,Synth Watch X1
2031-04-02T07:50:00Z,0.353,Synth Watch X1
2031-04-02T07:51:00Z,0.503,Synth Watch X1
2031-04-02T07:52:00Z,0.31,Synth Watch X1
2031-04-02T07:53:00Z,0.351,Synth Watch X1
2031-04-02T07:54:00Z,0.489,Synth Watch X1
2031-04-02T07:55:00Z,0.373,Synth Watch X1
2031-04-02T07:56:00Z,0.409,Synth Watch X1
2031-04-02T07:57:00Z,0.543,Synth Watch X1
2031-04-02T07:58:00Z,0.518,Synth Watch X1
2031-04-02T07:59:00Z,0.514,Synth Watch X1
2031-04-02T08:00:00Z,0.497,Synth Watch X1
2031-04-02T08:01:00Z,0.419,Synth Watch X1
2031-04-02T08:02:00Z,0.433,Synth Watch X1
2031-04-02T08:03:00Z,0.547,Synth Watch X1
2031-04-02T08:04:00Z,0.458,Synth Watch X1
2031-04-02T08:05:00Z,0.41,Synth Watch X1
2031-04-02T08:06:00Z,0.343,Synth Watch X1
2031-04-02T08:07:00Z,0.476,Synth Watch X1
2031-04-02T08:08:00Z,0.373,Synth Watch X1
2031-04-02T08:09:00Z,0.546,Synth Watch X1
2031-04-02T08:10:00Z,0.383,Synth Watch X1
