Date/Time,Cadence (rpm),Source
2031-04-08T07:32:00Z,76,Synth Watch X1
2031-04-08T07:33:00Z,71,Synth Watch X1
2031-04-08T07:34:00Z,72,Synth Watch X1
2031-04-08T07:35:00Z,78,Synth Watch X1
2031-04-08T07:36:00Z,79,Synth Watch X1
2031-04-08T07:37:00Z,76,Synth Watch X1
2031-04-08T07:38:00Z,77,Synth Watch X1
2031-04-08T07:39:00Z,77,Synth Watch X1
2031-04-08T07:40:00Z,83,Synth Watch X1
2031-04-08T07:41:00Z,82,Synth Watch X1
2031-04-08T07:42:00Z,84,Synth Watch X1
2031-04-08T07:43:00Z,87,Synth Watch X1
2031-04-08T07:44:00Z,85,Synth Watch X1
2031-04-08T07:45:00Z,81,Synth Watch X1
2031-04-08T07:46:00Z,87,Synth Watch X1
2031-04-08T07:47:00Z,87,Synth Watch X1
2031-04-08T07:48:00Z,86,Synth Watch X1
2031-04-08T07:49:00Z,88,Synth Watch X1
2031-04-08T07:50:00Z,86,Synth Watch X1
2031-04-08T07:51:00Z,89,Synth Watch X1
2031-04-08T07:52:00Z,82,Synth Watch X1
2031-04-08T07:53:00Z,88,Synth Watch X1
2031-04-08T07:54:00Z,86,Synth Watch X1
2031-04-08T07:55:00Z,86,Synth Watch X1
2031-04-08T07:56:00Z,88,Synth Watch X1
2031-04-08T07:57:00Z,84,Synth Watch X1
2031-04-08T07:58:00Z,79,Synth Watch X1
2031-04-08T07:59:00Z,85,Synth Watch X1
2031-04-08T08:00:00Z,82,Synth Watch X1
2031-04-08T08:01:00Z,78,Synth Watch X1
2031-04-08T08:02:00Z,82,Synth Watch X1
2031-04-08T08:03:00Z,76,Synth Watch X1
2031-04-08T08:04:00Z,81,Synth Watch X1
2031-04-08T08:05:00Z,74,Synth Watch X1
2031-04-08T08:06:00Z,78,Synth Watch X1
2031-04-08T08:07:00Z,78,Synth Watch X1
2031-04-08T08:08:00Z,73,Synth Watch X1
2031-04-08T08:09:00Z,74,Synth Watch X1
2031-04-08T08:10:00Z,72,Synth Watch X1
2031-04-08T08:11:00Z,66,Synth Watch X1
2031-04-08T08:12:00Z,64,Synth Watch X1
2031-04-08T08:13:00Z,70,Synth Watch X1
2031-04-08T08:14:00Z,66,Synth Watch X1
2031-04-08T08:15:00Z,67,Synth Watch X1
2031-04-08T08:16:00Z,67,Synth Watch X1
2031-04-08T08:17:00Z,61,Synth Watch X1
2031-04-08T08:18:00Z,61,Synth Watch X1
2031-04-08T08:19:00Z,62,Synth Watch X1
2031-04-08T08:20:00Z,62,Synth Watch X1
2031-04-08T08:21:00Z,62,Synth Watch X1
2031-04-08T08:22:00Z,60,Synth Watch X1
2031-04-08T08:23:00Z,60,Synth Watch X1
2031-04-08T08:24:00Z,61,Synth Watch X1
2031-04-08T08:25:00Z,62,Synth Watch X1
2031-04-08T08:26:00Z,56,Synth Watch X1
2031-04-08T08:27:00Z,62,Synth Watch X1
2031-04-08T08:28:00Z,57,Synth Watch X1
2031-04-08T08:29:00Z,57,Synth Watch X1
2031-04-08T08:30:00Z,60,Synth Watch X1
2031-04-08T08:31:00Z,56,Synth Watch X1
2031-04-08T08:32:00Z,61,Synth Watch X1
2031-04-08T08:33:00Z,58,Synth Watch X1
2031-04-08T08:34:00Z,61,Synth Watch X1
2031-04-08T08:35:00Z,62,Synth Watch X1
2031-04-08T08:36:00Z,60,Synth Watch X1
2031-04-08T08:37:00Z,59,Synth Watch X1
2031-04-08T08:38:00Z,67,Synth Watch X1
2031-04-08T08:39:00Z,64,Synth Watch X1
2031-04-08T08:40:00Z,65,Synth Watch X1
2031-04-08T08:41:00Z,68,Synth Watch X1
2031-04-08T08:42:00Z,68,Synth Watch X1
