Date/Time,Min (bpm),Max (bpm),Avg (bpm),Context,Source
2031-04-05T17:31:00Z,116,130,122,workout,Synth Watch X1
2031-04-05T17:32:00Z,122,132,126,workout,Synth Watch X1
2031-04-05T17:33:00Z,119,129,124,workout,Synth Watch X1
2031-04-05T17:34:00Z,124,129,126,workout,Synth Watch X1
2031-04-05T17:35:00Z,128,135,130,workout,Synth Watch X1
2031-04-05T17:36:00Z,125,133,130,workout,Synth Watch X1
2031-04-05T17:37:00Z,127,136,133,workout,Synth Watch X1
2031-04-05T17:38:00Z,128,136,131,workout,Synth Watch X1
2031-04-05T17:39:00Z,130,140,135,workout,Synth Watch X1
2031-04-05T17:40:00Z,130,137,134,workout,Synth Watch X1
2031-04-05T17:41:00Z,131,144,136,workout,Synth Watch X1
2031-04-05T17:42:00Z,142,147,144,workout,Synth Watch X1
2031-04-05T17:43:00Z,137,147,141,workout,Synth Watch X1
2031-04-05T17:44:00Z,137,148,141,workout,Synth Watch X1
2031-04-05T17:45:00Z,143,152,147,workout,Synth Watch X1
2031-04-05T17:46:00Z,144,152,146,workout,Synth Watch X1
2031-04-05T17:47:00Z,145,150,148,workout,Synth Watch X1
2031-04-05T17:48:00Z,148,158,151,workout,Synth Watch X1
2031-04-05T17:49:00Z,146,156,152,workout,Synth Watch X1
2031-04-05T17:50:00Z,145,155,149,workout,Synth Watch X1
2031-04-05T17:51:00Z,147,153,149,workout,Synth Watch X1
2031-04-05T17:52:00Z,146,155,149,workout,Synth Watch X1
2031-04-05T17:53:00Z,147,159,152,workout,Synth Watch X1
2031-04-05T17:54:00Z,149,158,153,workout,Synth Watch X1
2031-04-05T17:55:00Z,149,160,154,workout,Synth Watch X1
2031-04-05T18:01:00Z,149,159,154,workout,Synth Watch X1
2031-04-05T18:02:00Z,152,162,155,workout,Synth Watch X1
2031-04-05T18:03:00Z,149,154,152,workout,Synth Watch X1
2031-04-05T18:04:00Z,148,157,153,workout,Synth Watch X1
2031-04-05T18:05:00Z,152,163,156,workout,Synth Watch X1
2031-04-05T18:06:00Z,146,153,150,workout,Synth Watch X1
2031-04-05T18:07:00Z,143,151,148,workout,Synth Watch X1
2031-04-05T18:08:00Z,151,158,153,workout,Synth Watch X1
2031-04-05T18:09:00Z,142,150,145,workout,Synth Watch X1
2031-04-05T18:10:00Z,147,157,150,workout,Synth Watch X1
2031-04-05T18:11:00Z,143,149,146,workout,Synth Watch X1
2031-04-05T18:12:00Z,146,155,149,workout,Synth Watch X1
2031-04-05T18:13:00Z,143,151,147,workout,Synth Watch X1
2031-04-05T18:14:00Z,143,147,145,workout,Synth Watch X1
2031-04-05T18:15:00Z,133,145,138,workout,Synth Watch X1
2031-04-05T18:16:00Z,131,143,136,workout,Synth Watch X1
2031-04-05T18:17:00Z,134,142,139,workout,Synth Watch X1
2031-04-05T18:18:00Z,137,144,140,workout,Synth Watch X1
2031-04-05T18:19:00Z,129,138,135,workout,Synth Watch X1
2031-04-05T18:20:00Z,128,135,130,workout,Synth Watch X1
2031-04-05T18:21:00Z,122,132,127,workout,Synth Watch X1
2031-04-05T18:22:00Z,130,140,132,workout,Synth Watch X1
2031-04-05T18:23:00Z,122,129,125,workout,Synth Watch X1
2031-04-05T18:24:00Z,123,133,127,workout,Synth Watch X1
2031-04-05T18:25:00Z,116,125,121,workout,Synth Watch X1
2031-04-05T18:26:00Z,116,125,122,workout,Synth Watch X1
